age,gender,relationship,occasion,budget,interests,gift_name,description,link,rating,image_link
39,Female,Colleague,Karva Chauth,10000,"Photography,Astronomy",Spa Kit,Handmade with love spa kit,https://example.com/spakit,3,https://m.media-amazon.com/images/I/61U+jsU2X5L._SY355_.jpg
51,Male,Boss,Birthday,200,"Anime,Health",Subscription Box,Compact and practical subscription box,https://example.com/subscriptionbox,3,https://m.media-amazon.com/images/I/51owLPje41L._SX300_SY300_QL70_FMwebp_.jpg
38,Female,Wife,Promotion,200,"Anime,Finance",Subscription Box,Compact and practical subscription box,https://example.com/subscriptionbox,3,https://m.media-amazon.com/images/I/511XdKeYlnL._SX300_SY300_QL70_FMwebp_.jpg
37,Female,Friend,Anniversary,1000,"DIY,Science,Gardening",Hiking Gear,Premium design hiking gear,https://example.com/hikinggear,3,https://m.media-amazon.com/images/I/71wBswoT7vL._SX679_.jpg
40,Male,Brother,Promotion,5000,"Home Decor,Sports,Movies,Cooking",PS5 Controller,High quality ps5 controller,https://example.com/ps5controller,5,https://m.media-amazon.com/images/I/31jS0vUuIGL._SY300_SX300_QL70_FMwebp_.jpg
47,Male,Uncle,Anniversary,500,"Makeup,Languages,Writing",Hiking Gear,Comfortable and useful hiking gear,https://example.com/hikinggear,5,https://m.media-amazon.com/images/I/41Kbo9NWhWL._SY300_SX300_.jpg
57,Female,Girlfriend,Farewell,200,"Animals,Volunteering,Photography",Fitness Band,Compact and practical fitness band,https://example.com/fitnessband,4,https://m.media-amazon.com/images/I/41xJmbAgFBL._SX300_SY300_QL70_FMwebp_.jpg
42,Female,Mentor,Birthday,10000,"Science,Food,Animals",Bluetooth Speaker,Tech-savvy and modern bluetooth speaker,https://example.com/bluetoothspeaker,3,https://m.media-amazon.com/images/I/31JexsP+9dL._SY300_SX300_.jpg
55,Female,Mother,Karva Chauth,500,"Finance,Cooking",Jewelry Box,Premium design jewelry box,https://example.com/jewelrybox,3,https://m.media-amazon.com/images/I/41je7MD-2oL._SX300_SY300_QL70_FMwebp_.jpg
20,Female,Friend,Christmas,2000,"Travel,Comedy,Photography,Health",Hiking Gear,High quality hiking gear,https://example.com/hikinggear,3,https://m.media-amazon.com/images/I/91155cMuRBL._SX679_.jpg
57,Female,Sister,Diwali,200,"Education,Technology,Photography",Customized T-shirt,Compact and practical customized t-shirt,https://example.com/customizedt-shirt,3,https://m.media-amazon.com/images/I/41WlNS7sQvL._SX569_.jpg
40,Male,Brother,Birthday,10000,"Writing,Podcasts",Bookshelf,Eco-friendly materials bookshelf,https://example.com/bookshelf,3,https://m.media-amazon.com/images/I/511M2JIuoXL._SX300_SY300_QL70_FMwebp_.jpg
46,Female,Fianc̩e,Housewarming,200,"Education,Astronomy,Photography,History",Customized T-shirt,Handmade with love customized t-shirt,https://example.com/customizedt-shirt,3,https://m.media-amazon.com/images/I/510mTpFxUUL._SX679_.jpg
38,Male,Husband,Achievement Celebration,500,"Astronomy,Parenting",Indoor Plant,A perfect gift for any occasion indoor plant,https://example.com/indoorplant,3,https://m.media-amazon.com/images/I/41LQEMBOnXL._SX300_SY300_QL70_FMwebp_.jpg
43,Male,Boyfriend,Sports Victory,200,"Adventure,Investing,Comedy,Environment",Handmade Bracelet,Comfortable and useful handmade bracelet,https://example.com/handmadebracelet,3,https://m.media-amazon.com/images/I/41SrdKLpvKL._SX300_SY300_QL70_FMwebp_.jpg
34,Female,Mentor,Women's Day,2000,"Politics,Sports,Anime",Art Supplies,Trendy and stylish art supplies,https://example.com/artsupplies,4,https://m.media-amazon.com/images/I/51Vuj4cga8L._SX300_SY300_QL70_FMwebp_.jpg
45,Female,Mentor,Raksha Bandhan,500,"Technology,Theater",Bookshelf,Eco-friendly materials bookshelf,https://example.com/bookshelf,4,https://m.media-amazon.com/images/I/51Jah-uzs7L._SX300_SY300_QL70_FMwebp_.jpg
53,Male,Father,Christmas,10000,"Coding,Makeup",Indoor Plant,A perfect gift for any occasion indoor plant,https://example.com/indoorplant,5,https://m.media-amazon.com/images/I/31BlqkeFbxL._SX300_SY300_QL70_FMwebp_.jpg
47,Male,Fianc̩,Valentine's Day,1000,"Home Decor,Languages,Vlogging",Leather Wallet,Comfortable and useful leather wallet,https://example.com/leatherwallet,3,https://m.media-amazon.com/images/I/21INnnibLtL._SY300_SX300_.jpg
44,Female,Girlfriend,Raksha Bandhan,10000,"DIY,Makeup",Wireless Charger,Compact and practical wireless charger,https://example.com/wirelesscharger,4,https://m.media-amazon.com/images/I/41PQUngJzCL._SX300_SY300_QL70_FMwebp_.jpg
56,Male,Boyfriend,Sports Victory,200,"Politics,Theater,Magic",Jewelry Box,Personalized for a special touch jewelry box,https://example.com/jewelrybox,3,https://m.media-amazon.com/images/I/41AJUWGSOSL._SX300_SY300_QL70_FMwebp_.jpg
59,Male,Father,Retirement,50000,"Investing,Meditation,Food,Makeup",Scented Candles,High quality scented candles,https://example.com/scentedcandles,5,https://m.media-amazon.com/images/I/419C+XAWqoL._SX342_SY445_.jpg
58,Male,Uncle,Achievement Celebration,10000,"History,Animals,Travel",Scented Candles,A perfect gift for any occasion scented candles,https://example.com/scentedcandles,3,https://m.media-amazon.com/images/I/41FoUoBJTuL._SY445_SX342_QL70_FMwebp_.jpg
42,Male,Father,Father's Day,500,"Theater,Gardening,Public Speaking,Vlogging",Mini Projector,Personalized for a special touch mini projector,https://example.com/miniprojector,3,https://m.media-amazon.com/images/I/41y4ZZ+BzQL._SX300_SY300_.jpg
28,Male,Boss,Graduation,500,"Volunteering,Fashion",Jewelry Box,Premium design jewelry box,https://example.com/jewelrybox,4,https://m.media-amazon.com/images/I/417n17ygL5L._SX300_SY300_QL70_FMwebp_.jpg
24,Male,Teammate,Christmas,10000,"Health,Crafts,Investing,Nature",Handmade Bracelet,Trendy and stylish handmade bracelet,https://example.com/handmadebracelet,5,https://m.media-amazon.com/images/I/6122wUkyaZL._SY500_.jpg
22,Female,Teacher,Anniversary,50000,"Science,Gardening",Board Game,Handmade with love board game,https://example.com/boardgame,5,https://m.media-amazon.com/images/I/31jLiq+OXJL._SY300_SX300_.jpg
42,Female,Sister,Mother's Day,5000,"Fashion,Sports",Customized T-shirt,Tech-savvy and modern customized t-shirt,https://example.com/customizedt-shirt,3,https://m.media-amazon.com/images/I/5167vSMDhZL._SX522_.jpg
34,Male,Teammate,Housewarming,5000,"Magic,Gardening",Perfume Set,High quality perfume set,https://example.com/perfumeset,5,https://m.media-amazon.com/images/I/41jJbz7fmcL._SX300_SY300_QL70_FMwebp_.jpg
45,Male,Son,Birthday,200,"Sports,Crafts",Camera Lens,Eco-friendly materials camera lens,https://example.com/cameralens,4,https://m.media-amazon.com/images/I/41u6q7Dd+JL._SY300_SX300_.jpg
45,Female,Sister,Promotion,10000,"Movies,Animals,Makeup",Elegant Pendant,Trendy and stylish elegant pendant,https://example.com/elegantpendant,4,https://m.media-amazon.com/images/I/51f1XcdVatL._SY500_.jpg
41,Male,Mentor,Achievement Celebration,50000,"Theater,Meditation,Travel",Art Supplies,Handmade with love art supplies,https://example.com/artsupplies,4,https://m.media-amazon.com/images/I/311KRBfwLOL._SX300_SY300_QL70_FMwebp_.jpg
45,Female,Wife,Christmas,50000,"Meditation,Animals",LED Lamp,Compact and practical led lamp,https://example.com/ledlamp,5,https://m.media-amazon.com/images/I/71M2yBRSnWL._SY741_.jpg
27,Male,Boss,Graduation,5000,"Investing,Board Games",Hiking Gear,Premium design hiking gear,https://example.com/hikinggear,3,https://m.media-amazon.com/images/I/51JelcsrOPL._SY300_SX300_QL70_FMwebp_.jpg
33,Male,Uncle,Graduation,200,"Music,Blogging,Writing",Board Game,High quality board game,https://example.com/boardgame,4,https://m.media-amazon.com/images/I/41L+yhGMCAL._SY300_SX300_.jpg
22,Male,Father,Anniversary,5000,"Science,Parenting,Crafts",Photo Frame,High quality photo frame,https://example.com/photoframe,3,https://m.media-amazon.com/images/I/518XSfMeomL._SX300_SY300_QL70_FMwebp_.jpg
19,Female,Boss,Anniversary,2000,"Food,Anime",Massage Gun,Handmade with love massage gun,https://example.com/massagegun,3,https://m.media-amazon.com/images/I/41vUSfAI6JL._SX300_SY300_QL70_FMwebp_.jpg
35,Female,Boss,Anniversary,1000,"Vlogging,Gardening,Magic",Indoor Plant,Trendy and stylish indoor plant,https://example.com/indoorplant,4,https://m.media-amazon.com/images/I/41MhSLCPqkL._SX425_.jpg
