age,gender,relationship,occasion,budget,interests,gift_name,description,link,rating,image_link
39,Female,Colleague,Karva Chauth,10000,"Photography,Astronomy",Spa Kit,Handmade with love spa kit,https://www.amazon.in/Ultimate-Relaxation-5-Piece-Stress-Pampering/dp/B084JDHFJK/ref=sr_1_37?crid=2UKNWUKHGC404&dib=eyJ2IjoiMSJ9.dPmTwQotyDn2-Ha7xu1IvVzt1JETrEISiVsLuKB-uNloRALd4BrT2J_RiENV_sri-ukbjlg5Xl247UFgzkhZaWl4UwCUe9VR5NGHW3hvZK6PRzB9p8mPY4IWTuMLqiNXlxy2FijasfrYHdIytQfbtpRXyhUtDdqbAaejXtFIKwcpE0Xn4fcVIsQLDnqVTdNFAIkemY1I2BxaMlAiDqbo_F_3HeX1b0GG3Ar50BHHnfW0PimXBN2VwNI9VcnvNaiR-CwR54SbRA0KXIV121Ux5h7JzfpWxU3Te0kP2gn6xLg.Tp7OFg134oUgoIFGsirulDhy_liCZQaDJFkFF_9m6D0&dib_tag=se&keywords=spa+kit+in+10000&qid=1746537481&sprefix=spa+kit+in+10000%2Caps%2C193&sr=8-37,3,https://m.media-amazon.com/images/I/61U+jsU2X5L._SY355_.jpg
51,Male,Boss,Birthday,200,"Anime,Health",Subscription Box,Compact and practical subscription box,https://www.amazon.in/Aniculture-Posters-Adhesive-Wrinkle-Free-Collection/dp/B0DYV8Q6GM/ref=sr_1_45?crid=19K8GBX2BQ48J&dib=eyJ2IjoiMSJ9.8mU2hJIlg5xqgO0KrDq9_dN0Yvd_nl_fz3tmt_QZyaU7DeVNxnISxREWON-DBRPa_sGvpbSj1ftuSov52erRtGbSe-2vOLd07e32bY6Owzm-q5kz0iA3LePNKyzXrTVScIOFT6pBszHdq_ut0_Iud95Jx8q-EGxvhngUZTf3DfNbUAIPh-veQ87NDAz_wxxUkmPcB9Tfevlv_RTbBJ0lZCYEIxQ3Dn9jc-Vhp1IePm101C7tzbA8P0Zy0hvGrcOsYiwKUFM96mYXJXW0PFOvo7EqLbSLm9cUDPA4BV8Eh8U.q4AQ0VDIaKO_ismtWTTp5EEoJ-Lr-wPw9LrkBafruVk&dib_tag=se&keywords=subscription%2Bbox%2Banime%2Bnaruto&qid=1746538033&sprefix=subscription%2Bbox%2Banime%2Bnaruto%2Caps%2C174&sr=8-45&th=1,3,https://m.media-amazon.com/images/I/51owLPje41L._SX300_SY300_QL70_FMwebp_.jpg
38,Female,Wife,Promotion,200,"Anime,Finance",Subscription Box,Compact and practical subscription box,https://www.amazon.in/Anime-Concept-Glossy-Laminated-Freebies/dp/B0DQ8QYXSH/ref=sr_1_1?crid=1JCEO1FCMJXEU&dib=eyJ2IjoiMSJ9.NpFxvHeuQtTBe-Nt0ct51WJKncMpGXkbGec1gqhyBgXGjHj071QN20LucGBJIEps.4FapYowch5UOnKIoG3M9IgADmLBHue0SCNK0UDg9DIk&dib_tag=se&keywords=subscription+box+anime&qid=1746537977&sprefix=subscription+box+anime%2Caps%2C183&sr=8-1,3,https://m.media-amazon.com/images/I/511XdKeYlnL._SX300_SY300_QL70_FMwebp_.jpg
37,Female,Friend,Anniversary,1000,"DIY,Science,Gardening",Hiking Gear,Premium design hiking gear,https://www.amazon.in/Gear-Trekking-Backpack-Rucksack-Shoulder/dp/B0DTK3MMJM/ref=sr_1_9?crid=1YREOA7SY32XI&dib=eyJ2IjoiMSJ9.V56yv38OnwWwWtxqPPm3K-kySj6RMyl8en9G3Pag6l81aiaBSqjT_aX9d86i2_9t9rtB3oRF1455ZiJkhavv1uegpZlYxRXrR1l_p_fipTPiA_uLwn3N9QdTEacH9aPJ3fMIdkHlmFHOCSrOpaX26hS9tk92V0QPH-AMNsGf1ytY7uEwXCm-atUz8c5E7Rvf3QI-zrazxEWpbmlf13sB-8ALZ2AzhwPBDTa3Rq9WV88rePUzGAZLc838q37l5yr_LVFOXCBJ14NffQuiZNp4qD5PAoCq8vxxls7rNLef5Qs.4-El5P9EPC7p5kpN4zUTyk-Qs3iF6CKY1fPVIXXf8bs&dib_tag=se&keywords=premium+hiking+gear&qid=1746538305&sprefix=premium+hiking+gear%2Caps%2C194&sr=8-9,3,https://m.media-amazon.com/images/I/71wBswoT7vL._SX679_.jpg
40,Male,Brother,Promotion,5000,"Home Decor,Sports,Movies,Cooking",PS5 Controller,High quality ps5 controller,https://www.amazon.in/DualSense-Wireless-Controller-Starlight-PlayStation/dp/B09NLJGTHL/ref=sr_1_8?crid=1FPKN2Z6W6ZXY&dib=eyJ2IjoiMSJ9.mlEXdBGseypru5gfvv3h9D0EFa0AOj8kRaLYa4oj5aHyTfJd2uTvED1zGSkHFWKMxeysfTqmBtyatdpYrkdqKy3TeOddMnklll38qyl3Mc62YGCcw8OtG5ihygI7ojZXtE-prrNMONJMOX6KuQbMKzE24fG6V-kB_HIum3C_BDgSruikGMC-cKi2OhOcnvYhMuf2KdBJXxCaP9tvv29yRpwSfaRunBoCaEunss4dUJg.Cwe0z6XxXJHvILyqOg0KhophZGkh5b7NV0FWB11CWVY&dib_tag=se&keywords=ps5+controller&qid=1746539092&sprefix=ps5+cont%2Caps%2C238&sr=8-8,5,https://m.media-amazon.com/images/I/31jS0vUuIGL._SY300_SX300_QL70_FMwebp_.jpg
47,Male,Uncle,Anniversary,500,"Makeup,Languages,Writing",Hiking Gear,Comfortable and useful hiking gear,https://www.amazon.in/Gear-Alphamount-Trekking-Black-Yellow-RKSALPAMT0112/dp/B097KFYPCG/ref=sr_1_10?crid=1YREOA7SY32XI&dib=eyJ2IjoiMSJ9.V56yv38OnwWwWtxqPPm3K-kySj6RMyl8en9G3Pag6l81aiaBSqjT_aX9d86i2_9t9rtB3oRF1455ZiJkhavv1uegpZlYxRXrR1l_p_fipTPiA_uLwn3N9QdTEacH9aPJ3fMIdkHlmFHOCSrOpaX26hS9tk92V0QPH-AMNsGf1ytY7uEwXCm-atUz8c5E7Rvf3QI-zrazxEWpbmlf13sB-8ALZ2AzhwPBDTa3Rq9WV88rePUzGAZLc838q37l5yr_LVFOXCBJ14NffQuiZNp4qD5PAoCq8vxxls7rNLef5Qs.4-El5P9EPC7p5kpN4zUTyk-Qs3iF6CKY1fPVIXXf8bs&dib_tag=se&keywords=premium%2Bhiking%2Bgear&qid=1746538305&sprefix=premium%2Bhiking%2Bgear%2Caps%2C194&sr=8-10&th=1,5,https://m.media-amazon.com/images/I/41Kbo9NWhWL._SY300_SX300_.jpg
57,Female,Girlfriend,Farewell,200,"Animals,Volunteering,Photography",Fitness Band,Compact and practical fitness band,https://www.amazon.in/AYL-Bluetooth-Smartwatch-Wireless-Fitness/dp/B0BPSLJNTX/ref=sr_1_8?crid=2DD8DHPESDEJ2&dib=eyJ2IjoiMSJ9.fBoogPNOj9pc9TLET8paMwzuDQp7NDkbpMK6Gkva7QfKcLsxNl5-BvhMmpKL0eWKkS70zPfHqM3DclE3Adozqqxk0mevqCL7Sl5dougdtrj-vEzSH2FZbKnxsBRR1vWebHI7XrvFhFYtoUCqRQYTF3B-NMQbYqkYPKe9X950nUFw5WK4uwk31OJbn6SADMuYEsvANtuXAZvWNHGHjrLmln1n7LoqW8RAWsgsjkuaiRc.0JODY65s1_CRGTUBFaF781WJuo-YFYJfdOmLeBEJkfg&dib_tag=se&keywords=fitness+band+in+200&qid=1746539182&sprefix=fitness+band+in+200%2Caps%2C242&sr=8-8,4,https://m.media-amazon.com/images/I/41xJmbAgFBL._SX300_SY300_QL70_FMwebp_.jpg
42,Female,Mentor,Birthday,10000,"Science,Food,Animals",Bluetooth Speaker,Tech-savvy and modern bluetooth speaker,https://www.amazon.in/Bose-SoundLink-Micro-Bluetooth-Speaker/dp/B09R84PDTG/ref=sr_1_3?crid=27I3ALBEKJM16&dib=eyJ2IjoiMSJ9.akWVCVnm1oIuDZyA5OmCu6gX0VwQVB-JllrIUoI8wkynKzF6RiPuNva4rN5FGo2PkouXxOrXKFYZI4l__jzwvfZmQkBzNrX6AaMMEbec2sMPseyZv2M37vwT7cT5T-eiO4cN5K9LQ2SYFV_o8TpUu7QGaHA93uAWnqEAFFZqVXw4RFS9tlXHrorPVfH1TenBqEyxdzwckQgO-EGrShDSt6E3eRWpkf4fgO2eZe-7c6c.YdeW5gWfrUJiFi49jEgmfOg8bFF5wbxMJqEsrl7SCdo&dib_tag=se&keywords=bose%2Bbluetooth%2Bspeaker%2Bsmall&nsdOptOutParam=true&qid=1746539249&sprefix=bose%2Bbluetooth%2Bspeaker%2Bsmall%2Caps%2C254&sr=8-3&th=1,3,https://m.media-amazon.com/images/I/31JexsP+9dL._SY300_SX300_.jpg
55,Female,Mother,Karva Chauth,500,"Finance,Cooking",Jewelry Box,Premium design jewelry box,https://www.amazon.in/YouBella-Jewellery-Organiser-Container-Organizer/dp/B0BQCGR4R7/ref=sr_1_4_sspa?crid=1UVVSWINNMLMH&dib=eyJ2IjoiMSJ9.UiaetCuKeDIkG1QSHue6rsv71G1Qs66hbckQxZY2KIwvkd8zDWQjQKgLVuRSOYp_j9iKpjOTjvN8_PCykyHIGjWJMzrPGxp5w00r2dUYEwNg1iozTnfu03trpceabf9DerMppQp2Tv4pZylYx-K0A7bonnpeXhR-06xk5GtJdsz6x-oXJaW98OAwvP-T2TVdeYkmQKiQJPgiB-2dQV_f8kA5fMawpDyCuVZA22yFtmaRbxcQuJgvGKpIjUci-grzIWz7UU0xFq8sxg2T_ADAKUTGBI8R0ubID4LPDXQniHc.irAZNnNGujNYQ1W38ycXFnPJITp5fCNGadrxybGRh_8&dib_tag=se&keywords=jewellery%2Bbox%2Bin%2B500&qid=1746539350&sprefix=jewellery%2Bbox%2Bin%2B500%2Caps%2C259&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,3,https://m.media-amazon.com/images/I/41je7MD-2oL._SX300_SY300_QL70_FMwebp_.jpg
20,Female,Friend,Christmas,2000,"Travel,Comedy,Photography,Health",Hiking Gear,High quality hiking gear,https://www.amazon.in/TriPole-Rucksack-80-Litres-Green/dp/B0BS5T5KJC/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%3Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97&crid=1YREOA7SY32XI&cv_ct_cx=premium%2Bhiking%2Bgear&keywords=premium%2Bhiking%2Bgear&pd_rd_i=B0BS5T5KJC&pd_rd_r=7d7b0927-dc5b-421b-885d-3dccd3b9e475&pd_rd_w=mqidh&pd_rd_wg=YBe8e&pf_rd_p=cd33fa60-47cd-49f3-80b8-24b1f0cbef97&pf_rd_r=3J3F951VC295VHXNZ94K&qid=1746538305&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=premium%2Bhiking%2Bgear%2Caps%2C194&sr=1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1&psc=1,3,https://m.media-amazon.com/images/I/91155cMuRBL._SX679_.jpg
